,ID,specz,zphot,u_flux,u_err,g_flux,g_err,r_flux,r_err,i_flux,i_err,z_flux,z_err,JUV_flux,JUV_err,KUV_flux,KUV_err,K_flux,K_err,ch1_flux,ch1_err,ch2_flux,ch2_err,flags,ima_flags
31,4551,0.062054526060819626,-1.0,0.016176702454686165,0.0006394635420292616,0.03835395351052284,0.0013777726562693715,0.05968352407217026,0.0020752898417413235,0.07636122405529022,0.002702035242691636,0.08890899270772934,0.0033886085730046034,-99.0,-99.0,-99.0,-99.0,0.19095281382878115,0.0059864325639112734,0.010644473135471344,0.0022396501153707504,0.008573135361075401,0.002454254776239395,16.0,0.0
32,4638,0.07889218549203872,-1.0,0.13805297017097473,0.004501312971115112,0.46652987599372864,0.015058533288538456,1.0572526454925537,0.03409675508737564,1.7386209964752197,0.056070372462272644,1.9941843748092651,0.06432808935642242,2.784153307666811,,2.910927386730226,,2.9527298411335248,0.005548399737716367,1.1927087306976318,0.05556969344615936,0.8676809668540955,0.040840618312358856,3.0,0.0
33,4729,0.3797086477279663,0.40381417073839787,0.0014870925806462765,0.000249020813498646,0.008159870281815529,0.0002861647226382047,0.04079793766140938,0.0013664241414517164,0.07249101996421814,0.0024108479265123606,0.09389900416135788,0.0030422075651586056,0.1557581810016587,0.0039028334551809026,0.2634586322589067,0.003506689560638001,0.2806485711049676,0.001923989169627862,0.1652780920267105,0.008543278090655804,0.13864366710186005,0.007201637607067823,0.0,0.0
34,4771,0.07942300289869308,-1.0,0.3847704529762268,0.012599736452102661,0.9442798495292664,0.03050977550446987,1.5113849639892578,0.04876016452908516,1.851480484008789,0.059730637818574905,2.5146803855895996,0.08115953207015991,2.1991380984330613,,2.5061859468853913,,2.507395675286498,0.0068948997467792005,1.6102601289749146,0.07495027035474777,1.020985722541809,0.04793131351470947,3.0,0.0
35,4836,0.27167654037475586,-1.0,0.05745770037174225,0.0021416351664811373,0.11095111817121506,0.0037200709339231253,0.2484835684299469,0.008081289008259773,0.4698520302772522,0.01525117177516222,0.532063901424408,0.017341049388051033,1.44543977074594e+46,,0.8284386369866502,0.005314014409031281,0.7969857628241561,0.002555464418781025,0.2702289819717407,0.013222843408584595,0.2335851937532425,0.011582847684621811,3.0,0.0
36,4878,0.04392234840059281,-1.0,0.24304434657096863,0.007839691825211048,0.571998655796051,0.018443377688527107,0.9314321875572205,0.030031517148017883,1.1636292934417725,0.03751841187477112,1.3797199726104736,0.044489435851573944,2.699450260047492,,2.5933278373192845,,2.554040420938077,0.010477553495312316,1.2710875272750854,0.059683095663785934,0.8322995901107788,0.03937215730547905,0.0,0.0
37,4981,0.4001380503177643,0.47920719568624176,0.008547885343432426,0.0005735419690608978,0.028767840936779976,0.0010824718046933413,0.13359780609607697,0.004365704953670502,0.2576560080051422,0.008376079611480236,0.34083136916160583,0.011112340725958347,0.4102349754700814,0.0035806286914789377,0.624959754176671,0.004412280711773824,0.7066430453076535,0.003843992286415698,0.4291553199291229,0.02064172923564911,0.3756714463233948,0.01824413426220417,0.0,0.0
38,4995,0.2662103474140167,0.3793724194205065,0.007690763100981712,0.0006839389679953456,0.0311567522585392,0.0011903435224667192,0.12340576201677322,0.00406827125698328,0.23995757102966309,0.007817335426807404,0.3255612552165985,0.010634955950081348,0.380893069057389,0.003521102893895492,0.6239899748928092,0.004407612894474043,0.6451742500551259,0.0027363812108164077,0.3330070972442627,0.015950415283441544,0.27324411273002625,0.013286803849041462,0.0,0.0
39,5163,0.4885800778865814,0.6031269771938589,0.001764183398336172,0.0005502008134499192,0.005121078807860613,0.00045072060311213136,0.02919272892177105,0.0011561084538698196,0.06348954886198044,0.0022891710978001356,0.08913704752922058,0.0033182145562022924,0.09095580330422133,0.00429858342702806,0.1419086838556999,0.003983524289661617,0.1621192585813512,0.0019528204859304078,0.13383571803569794,0.007151209283620119,0.08709798753261566,0.004975533112883568,0.0,0.0
40,5300,0.41473841667175293,4.731678890488723,0.0004524083051364869,4.915811223327182e-05,0.003650297410786152,0.00013761260197497904,0.049326542764902115,0.0017643508035689592,0.09545165300369263,0.0032843200024217367,0.1241050735116005,0.004395217634737492,0.12123548682972199,0.0041118428526198255,0.2163793998328102,0.0036265602780384027,0.22863442719586674,0.002566237547640056,0.14875377714633942,0.007747025694698095,0.12256627529859543,0.006545016076415777,3.0,0.0
41,5379,0.3789058029651642,0.5130751056930337,0.002353877993300557,0.0004024621157441288,0.015625514090061188,0.0008569203782826662,0.08015333116054535,0.002726983046159148,0.1661626696586609,0.005499581806361675,0.2173161804676056,0.007441283203661442,0.24640341836262072,0.003540743293853265,0.3567830179712282,0.0034869104186437253,0.5077336806621283,0.00414554803606849,0.2560095191001892,0.012650294229388237,0.21431918442249298,0.01066370029002428,2.0,0.0
42,5432,0.5418733358383179,0.5275603811501164,0.0011703378986567259,9.146182856056839e-05,0.007376410998404026,0.00045073768706060946,0.03093174286186695,0.0012708635767921805,0.06737430393695831,0.002425822429358959,0.09131300449371338,0.0033880779519677162,0.10007700967780687,0.004244805203575478,0.17194542503284255,0.0038160273855218207,0.18326611661302025,0.002128205873507419,0.154343381524086,0.007930921390652657,0.11528835445642471,0.006332833785563707,2.0,0.0
43,5568,0.1728612333536148,0.024614279723843002,0.06532298773527145,0.002137898001819849,0.1360439658164978,0.004415352828800678,0.22250154614448547,0.007197682745754719,1.226564645767212,0.03984154388308525,0.3521021008491516,0.011427278630435467,-99.0,-99.0,-99.0,-99.0,0.4800044333157931,0.0030698967764402527,0.2685736119747162,0.012724941596388817,0.20994827151298523,0.009807652793824673,3.0,0.0
44,5571,0.040922828018665314,-1.0,0.05084427446126938,0.0018690250581130385,0.12174414843320847,0.004270970355719328,0.16848048567771912,0.005935725290328264,0.21519339084625244,0.00786471739411354,0.2252011001110077,0.00935816578567028,0.051483647905325954,0.004411985362676397,0.009959785137383756,0.0031854549803294017,0.08999467443168489,0.002407131345622885,0.02220832370221615,0.0029726079665124416,0.014301125891506672,0.0028070921543985605,2.0,0.0
45,5746,0.6564146876335144,0.7941347138759784,0.0031454002019017935,0.00022631758474744856,0.0061571476981043816,0.0003576636372599751,0.022291060537099838,0.0008116347016766667,0.055463314056396484,0.0018625949742272496,0.08510259538888931,0.002864003647118807,0.13298583649905887,0.004038038308056885,0.25567636443817865,0.003520943302537975,0.27949439623912975,0.002207843630702246,0.32493218779563904,0.015879234299063683,0.22816281020641327,0.011477194726467133,0.0,0.0
46,5885,0.19199299812316895,0.20073441462564826,0.0420500822365284,0.0013966733822599053,0.1000705361366272,0.0032474976032972336,0.17995956540107727,0.005822592414915562,0.25922638177871704,0.008395823650062084,0.2912972569465637,0.009431528858840466,0.406106255231849,0.00357114547173195,0.5730480916035868,0.004168716572426096,0.5462943834385392,0.0022306295076376203,0.3266805410385132,0.01553190965205431,0.2856528162956238,0.013774331659078598,0.0,0.0
47,5950,0.07863673616170883,-1.0,0.17034226655960083,0.0055058482103049755,0.43879464268684387,0.014157732017338276,0.7396881580352783,0.023859120905399323,0.9849387407302856,0.03177011013031006,1.1305150985717773,0.03647800162434578,1.460322242006758,,1.6574608657304375,,1.6091824571976099,0.004392979073988685,1.001118779182434,0.04650537297129631,0.6990156173706055,0.03291432559490204,0.0,0.0
48,6006,0.044675748850226404,-1.0,0.37220248579978943,0.012032045982778072,1.259993553161621,0.040630996227264404,2.8408305644989014,0.09158936887979507,4.7158002853393555,0.1520330011844635,4.922919750213623,0.15873625874519348,6.581874685726332,,7.402090671105767,,7.202476595290576,0.00616770128761528,3.3243794441223145,0.153311088681221,2.197566270828247,0.10146228969097137,0.0,0.0
49,6030,0.07126697897911072,0.028039629876291446,0.07619134336709976,0.002518879948183894,0.1626136153936386,0.005297871772199869,0.21251678466796875,0.006906370632350445,0.2529909312725067,0.008228347636759281,0.2686385214328766,0.008787773549556732,0.31690133757811884,0.0034634361351899247,0.24648134638631583,0.0035405639698657195,0.293466204110443,0.0044315113419922045,0.11979600042104721,0.006710893474519253,0.0843101218342781,0.005299266427755356,2.0,0.0
50,6295,0.20305287837982178,-1.0,0.036933887749910355,0.001194637967273593,0.07433097064495087,0.0024276149924844503,0.12340925633907318,0.004072878044098616,0.17904819548130035,0.0058607067912817,0.1953413337469101,0.00660100718960166,-99.0,-99.0,-99.0,-99.0,0.17565156393139975,0.00225217186982079,0.08394601941108704,0.004652567207813263,0.06760421395301819,0.004468467552214861,0.0,0.0
51,6326,0.5711963176727295,0.5800932876329505,0.0005430034943856299,0.0001925383257912472,0.004265286028385162,0.0004010958946309984,0.020858054980635643,0.0007523001404479146,0.04638887196779251,0.0015641966601833701,0.06473968178033829,0.0021974474657326937,0.10375241872544573,0.0042222110439579345,0.17606519941758136,0.003795372146061703,0.1751716100267939,0.003802260885612527,0.16045546531677246,0.00822934228926897,0.10241267830133438,0.005565187428146601,0.0,0.0
52,6584,0.5718845129013062,0.5515477724304924,0.001247206935659051,0.00018851805361919105,0.0059183198027312756,0.0004214723303448409,0.030192939564585686,0.0011121570132672787,0.05805601924657822,0.001920683542266488,0.07928173989057541,0.002635924145579338,0.12065820336166509,0.0041155035397576435,0.2156435994261537,0.0036290888528962137,0.21622322675677008,0.0015615660858576158,0.20180034637451172,0.00985092855989933,0.12559762597084045,0.006468484178185463,0.0,0.0
53,7074,0.5613408088684082,0.527700452628198,0.0003873741370625794,0.00014415313489735126,0.003927183803170919,0.00030193859129212797,0.021357759833335876,0.0007485856185667217,0.04883727803826332,0.0016303852899000049,0.06895087659358978,0.0023498411756008863,0.1025719099428148,0.004229510321236098,0.1900568444892932,0.003729843286633333,0.19642340718667195,0.0016422456301846155,0.16573426127433777,0.008239666000008583,0.11822543293237686,0.006101054139435291,0.0,0.0
54,7254,0.09723073244094849,0.12697640407392705,0.033018454909324646,0.0010886637028306723,0.07976657897233963,0.002593938261270523,0.12287050485610962,0.003982663154602051,0.16442736983299255,0.005345107987523079,0.18320994079113007,0.005995174869894981,0.2219061985286037,0.0036082245275816335,0.2486641919930314,0.0035356304232662815,0.2420696945146129,0.0024592826131711997,0.13403601944446564,0.007004486862570047,0.09668795019388199,0.0057212840765714645,0.0,0.0
55,7412,0.19229765021800993,-1.0,0.040213655680418015,0.0013136627385392785,0.16105304658412933,0.005244011990725994,0.4022314250469208,0.013006173074245453,0.43401798605918884,0.014000136405229568,0.5404835939407349,0.0174502395093441,0.9002616370439478,0.00517978558921206,1.2685341244575432,,1.2781535955931678,0.003548162226131339,0.7112928032875061,0.033330656588077545,0.5851256847381592,0.027500689029693604,2.0,0.0
56,7453,0.4931620955467224,0.48973204008720755,0.001780343591235578,0.0006772820488549769,0.008936840109527111,0.0007558380020782351,0.045477494597435,0.0016739825950935483,0.11172537505626678,0.0038393421564251184,0.15852265059947968,0.0056589581072330475,0.2361932690513155,0.0035661600545505517,0.49027673379245534,0.003825153376194507,0.3391671505606239,0.0026017133739195536,0.23303158581256866,0.01078617013990879,0.17586150765419006,0.00815122202038765,3.0,0.0
57,7554,0.14512953162193298,0.12713240667447462,0.0596720427274704,0.001985561801120639,0.15411919355392456,0.0050104111433029175,0.278365820646286,0.009004687890410423,0.3856474757194519,0.012468271888792515,0.45331424474716187,0.014696852304041386,0.6463408102968001,0.0045158909651085355,0.8245185084175786,0.005302970001778247,0.774302227094572,0.009016238663017349,0.43514785170555115,0.020729823037981987,0.33659061789512634,0.016552040353417397,0.0,0.0
58,7848,0.49249163269996643,0.5253588343548887,0.0004988090950064361,0.00019727469771169126,0.003674764884635806,0.0002980398712679744,0.02015700191259384,0.0007354968693107367,0.03982892632484436,0.0013892671559005976,0.055257778614759445,0.0019481955096125603,0.09210644250348375,0.004292033324355893,0.16218870245413997,0.003867306675115369,0.1601280978544332,0.001993312358241524,0.1307632029056549,0.00695511931553483,0.09746730327606201,0.00543235382065177,0.0,0.0
59,7936,0.5609477162361145,0.5701265876708831,0.0019629562739282846,0.0002814977488014847,0.0055215805768966675,0.0004305687907617539,0.023094499483704567,0.0008467902662232518,0.048692502081394196,0.001684790477156639,0.06744462251663208,0.002377882832661271,0.10503818250916636,0.004214221786540344,0.19136781423978635,0.0037240768089443527,0.1962161981716313,0.0024263959494321133,0.1521049290895462,0.007768603973090649,0.10997185856103897,0.005963291972875595,0.0,0.0
60,7987,0.5668948888778687,0.5838392176651089,0.002268316224217415,0.0003385672753211111,0.005635665263980627,0.0005914194043725729,0.019906437024474144,0.0008326595998369157,0.04114020988345146,0.0015940171433612704,0.05676700547337532,0.0021833369974046946,0.11316433201219969,0.004163073043410687,0.22933762531631643,0.0035853898743434497,0.24149487880843695,0.001949340157169151,0.22069299221038818,0.010343060828745365,0.15887226164340973,0.00754869170486927,3.0,0.0
61,7994,0.3986555337905884,0.3942756972942772,0.00365218217484653,0.0002853004261851311,0.01891281083226204,0.0008935244404710829,0.08805728703737259,0.002926606684923172,0.11286063492298126,0.003678953507915139,0.14733049273490906,0.004827037453651428,0.2500708379225157,0.0035325425332873484,0.40918270294766046,0.0035781787220053496,0.4240116009570943,0.0026784403826308543,0.26074501872062683,0.012978375889360905,0.2189318686723709,0.01102539710700512,2.0,0.0
62,8440,0.4847941994667053,0.410056674821522,0.002762753749266267,0.00021210568957030773,0.015904780477285385,0.0010004573268815875,0.07138702273368835,0.0025648316368460655,0.1515219509601593,0.005151662975549698,0.11395204067230225,0.003786771558225155,0.1890382475649793,0.003734368343229105,0.3272063907102859,0.003465271874683667,0.3423598215571541,0.002599369000922041,0.2873744070529938,0.014202569611370564,0.22318260371685028,0.01127573475241661,0.0,0.0
63,8766,0.01537251565605402,-1.0,0.052694424986839294,0.0017397023038938642,0.08660434186458588,0.002860698848962784,0.11273957043886185,0.003732425393536687,0.1297057420015335,0.004317433573305607,0.13809281587600708,0.004875467158854008,0.13311088227797205,0.0040372633303339435,0.007885904283836662,0.0029334493403374907,0.1058085918785248,0.0035232838495831875,0.029169712215662003,0.002961705904453993,0.024014117196202278,0.0027906778268516064,2.0,0.0
